date,tenant_id,tenant_name,product_id,product_name,product_sku,warehouse_id,warehouse_name,stock_level,reserved_quantity,available_quantity,reorder_point,reorder_quantity,is_low_stock,cost_price,selling_price,inventory_value,demand_pattern,business_type
2023-09-30,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-2,East Coast Warehouse,70,8,61,50,178,False,430.2594071021801,751.8783139110598,30118.158497152606,high,electronics
2023-10-01,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-2,Main Distribution Center,69,1,69,15,172,False,430.2594071021801,751.8783139110598,29687.899090050425,high,electronics
2023-10-02,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,Express Fulfillment Center,66,1,58,29,132,False,430.2594071021801,751.8783139110598,28397.120868743885,high,electronics
2023-10-03,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-2,Main Distribution Center,61,6,51,11,120,False,430.2594071021801,751.8783139110598,26245.823833232986,high,electronics
2023-10-04,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-2,West Coast Warehouse,58,3,53,38,129,False,430.2594071021801,751.8783139110598,24955.045611926445,high,electronics
2023-10-05,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,Main Distribution Center,57,2,49,10,83,False,430.2594071021801,751.8783139110598,24524.786204824264,high,electronics
2023-10-06,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,Central Warehouse,52,5,45,40,64,False,430.2594071021801,751.8783139110598,22373.489169313365,high,electronics
2023-10-07,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,Main Distribution Center,56,4,49,17,75,False,430.2594071021801,751.8783139110598,24094.526797722086,high,electronics
2023-10-08,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,East Coast Warehouse,52,6,42,32,151,False,430.2594071021801,751.8783139110598,22373.489169313365,high,electronics
2023-10-09,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,Central Warehouse,49,2,46,39,81,False,430.2594071021801,751.8783139110598,21082.710948006825,high,electronics
2023-10-10,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,East Coast Warehouse,49,5,44,14,154,False,430.2594071021801,751.8783139110598,21082.710948006825,high,electronics
2023-10-11,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,Central Warehouse,46,10,38,41,162,False,430.2594071021801,751.8783139110598,19791.932726700285,high,electronics
2023-10-12,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,East Coast Warehouse,63,3,63,26,163,False,430.2594071021801,751.8783139110598,27106.342647437345,high,electronics
2023-10-13,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,Express Fulfillment Center,62,7,52,43,192,False,430.2594071021801,751.8783139110598,26676.083240335167,high,electronics
2023-10-14,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,East Coast Warehouse,61,1,58,43,177,False,430.2594071021801,751.8783139110598,26245.823833232986,high,electronics
2023-10-15,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,Central Warehouse,59,2,57,15,156,False,430.2594071021801,751.8783139110598,25385.305019028627,high,electronics
2023-10-16,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-2,Central Warehouse,54,1,47,28,159,False,430.2594071021801,751.8783139110598,23234.007983517724,high,electronics
2023-10-17,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,Central Warehouse,53,9,48,39,164,False,430.2594071021801,751.8783139110598,22803.748576415546,high,electronics
2023-10-18,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,West Coast Warehouse,49,10,48,17,58,False,430.2594071021801,751.8783139110598,21082.710948006825,high,electronics
2023-10-19,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,East Coast Warehouse,45,10,45,49,101,True,430.2594071021801,751.8783139110598,19361.673319598103,high,electronics
2023-10-20,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,West Coast Warehouse,43,6,35,23,198,False,430.2594071021801,751.8783139110598,18501.154505393744,high,electronics
2023-10-21,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,Express Fulfillment Center,43,1,42,40,105,False,430.2594071021801,751.8783139110598,18501.154505393744,high,electronics
2023-10-22,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,Central Warehouse,42,9,32,43,173,True,430.2594071021801,751.8783139110598,18070.895098291563,high,electronics
2023-10-23,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-2,Express Fulfillment Center,40,1,35,28,80,False,430.2594071021801,751.8783139110598,17210.376284087204,high,electronics
2023-10-24,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,Central Warehouse,39,7,34,24,172,False,430.2594071021801,751.8783139110598,16780.116876985023,high,electronics
2023-10-25,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-2,East Coast Warehouse,38,0,33,14,130,False,430.2594071021801,751.8783139110598,16349.857469882843,high,electronics
2023-10-26,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,Main Distribution Center,38,0,37,12,152,False,430.2594071021801,751.8783139110598,16349.857469882843,high,electronics
2023-10-27,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,Main Distribution Center,73,0,73,34,152,False,430.2594071021801,751.8783139110598,31408.936718459147,high,electronics
2023-10-28,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,West Coast Warehouse,72,8,70,19,65,False,430.2594071021801,751.8783139110598,30978.677311356965,high,electronics
2023-10-29,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,Main Distribution Center,72,7,65,26,101,False,430.2594071021801,751.8783139110598,30978.677311356965,high,electronics
2023-10-30,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,Main Distribution Center,68,3,66,48,82,False,430.2594071021801,751.8783139110598,29257.639682948247,high,electronics
2023-10-31,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,East Coast Warehouse,63,10,54,41,134,False,430.2594071021801,751.8783139110598,27106.342647437345,high,electronics
2023-11-01,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-2,West Coast Warehouse,61,2,57,15,164,False,430.2594071021801,751.8783139110598,26245.823833232986,high,electronics
2023-11-02,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-2,East Coast Warehouse,61,8,58,10,144,False,430.2594071021801,751.8783139110598,26245.823833232986,high,electronics
2023-11-03,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,East Coast Warehouse,62,2,60,16,93,False,430.2594071021801,751.8783139110598,26676.083240335167,high,electronics
2023-11-04,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,West Coast Warehouse,60,6,50,23,64,False,430.2594071021801,751.8783139110598,25815.564426130804,high,electronics
2023-11-05,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,Express Fulfillment Center,59,6,49,32,105,False,430.2594071021801,751.8783139110598,25385.305019028627,high,electronics
2023-11-06,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,Main Distribution Center,57,1,54,15,172,False,430.2594071021801,751.8783139110598,24524.786204824264,high,electronics
2023-11-07,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,Main Distribution Center,58,8,58,26,180,False,430.2594071021801,751.8783139110598,24955.045611926445,high,electronics
2023-11-08,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,Main Distribution Center,55,5,45,16,95,False,430.2594071021801,751.8783139110598,23664.267390619905,high,electronics
2023-11-09,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,West Coast Warehouse,52,2,52,30,200,False,430.2594071021801,751.8783139110598,22373.489169313365,high,electronics
2023-11-10,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,West Coast Warehouse,48,10,44,35,158,False,430.2594071021801,751.8783139110598,20652.451540904643,high,electronics
2023-11-11,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,Central Warehouse,46,1,37,42,100,False,430.2594071021801,751.8783139110598,19791.932726700285,high,electronics
2023-11-12,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,West Coast Warehouse,47,6,39,14,131,False,430.2594071021801,751.8783139110598,20222.192133802466,high,electronics
2023-11-13,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,Express Fulfillment Center,46,1,44,39,160,False,430.2594071021801,751.8783139110598,19791.932726700285,high,electronics
2023-11-14,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,Central Warehouse,47,4,39,14,151,False,430.2594071021801,751.8783139110598,20222.192133802466,high,electronics
2023-11-15,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,Central Warehouse,47,3,46,33,118,False,430.2594071021801,751.8783139110598,20222.192133802466,high,electronics
2023-11-16,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,East Coast Warehouse,48,10,42,40,83,False,430.2594071021801,751.8783139110598,20652.451540904643,high,electronics
2023-11-17,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,Central Warehouse,43,8,34,42,197,False,430.2594071021801,751.8783139110598,18501.154505393744,high,electronics
2023-11-18,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,East Coast Warehouse,44,9,40,13,163,False,430.2594071021801,751.8783139110598,18931.413912495926,high,electronics
2023-11-19,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,Express Fulfillment Center,43,2,36,50,56,True,430.2594071021801,751.8783139110598,18501.154505393744,high,electronics
2023-11-20,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,Express Fulfillment Center,44,0,36,23,109,False,430.2594071021801,751.8783139110598,18931.413912495926,high,electronics
2023-11-21,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,West Coast Warehouse,44,3,44,14,162,False,430.2594071021801,751.8783139110598,18931.413912495926,high,electronics
2023-11-22,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,Central Warehouse,40,7,32,47,177,True,430.2594071021801,751.8783139110598,17210.376284087204,high,electronics
2023-11-23,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,Central Warehouse,41,1,34,44,53,True,430.2594071021801,751.8783139110598,17640.635691189385,high,electronics
2023-11-24,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,Main Distribution Center,39,10,29,50,186,True,430.2594071021801,751.8783139110598,16780.116876985023,high,electronics
2023-11-25,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,Express Fulfillment Center,39,5,29,33,173,False,430.2594071021801,751.8783139110598,16780.116876985023,high,electronics
2023-11-26,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-4,West Coast Warehouse,40,3,31,38,137,False,430.2594071021801,751.8783139110598,17210.376284087204,high,electronics
2023-11-27,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,East Coast Warehouse,39,2,37,26,98,False,430.2594071021801,751.8783139110598,16780.116876985023,high,electronics
2023-11-28,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-3,Central Warehouse,36,7,26,23,157,False,430.2594071021801,751.8783139110598,15489.338655678483,high,electronics
2023-11-29,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-2,East Coast Warehouse,32,0,30,11,178,False,430.2594071021801,751.8783139110598,13768.301027269763,high,electronics
2023-11-30,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-1,Express Fulfillment Center,32,9,32,12,174,False,430.2594071021801,751.8783139110598,13768.301027269763,high,electronics
2023-12-01,tenant-1,TechGadgets Inc,prod-1,Smartphone 1,TECH-SMARTP-001,wh-5,Express Fulfillment Center,32,1,24,37,142,True,430.2594071021801,751.8783139110598,13768.301027269763,high,electronics
