date,tenant_id,product_id,warehouse_id,transaction_type,quantity,reason,reference_id,reference_type,notes,cost_price,total_value
2023-10-04,tenant-1,prod-1,wh-3,out,-2,sale,order-7309,order,Sale transaction for order SO-20231004-9260,430.2594071021801,860.5188142043602
2023-10-06,tenant-1,prod-1,wh-5,out,-5,sale,order-2740,order,Sale transaction for order SO-20231006-6704,430.2594071021801,2151.2970355109005
2023-10-09,tenant-1,prod-1,wh-5,out,-1,sale,order-6211,order,Sale transaction for order SO-20231009-9553,430.2594071021801,430.2594071021801
2023-10-10,tenant-1,prod-1,wh-3,out,-4,sale,order-5111,order,Sale transaction for order SO-20231010-3616,430.2594071021801,1721.0376284087204
2023-10-15,tenant-1,prod-1,wh-3,out,-7,sale,order-8388,order,Sale transaction for order SO-20231015-5638,430.2594071021801,3011.815849715261
2023-10-18,tenant-1,prod-1,wh-5,in,30,restock,PO-3406,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,12907.782213065402
2023-10-18,tenant-1,prod-1,wh-5,out,-7,sale,order-2072,order,Sale transaction for order SO-20231018-9236,430.2594071021801,3011.815849715261
2023-10-22,tenant-1,prod-1,wh-2,out,-1,sale,order-6335,order,Sale transaction for order SO-20231022-4896,430.2594071021801,430.2594071021801
2023-10-23,tenant-1,prod-1,wh-4,in,86,restock,PO-5629,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,37002.30901078749
2023-10-25,tenant-1,prod-1,wh-4,out,-9,sale,order-9713,order,Sale transaction for order SO-20231025-1288,430.2594071021801,3872.3346639196207
2023-10-28,tenant-1,prod-1,wh-5,out,-6,sale,order-2390,order,Sale transaction for order SO-20231028-5253,430.2594071021801,2581.5564426130804
2023-10-29,tenant-1,prod-1,wh-3,out,-3,sale,order-1032,order,Sale transaction for order SO-20231029-7758,430.2594071021801,1290.7782213065402
2023-10-31,tenant-1,prod-1,wh-2,out,-8,sale,order-2895,order,Sale transaction for order SO-20231031-2552,430.2594071021801,3442.0752568174407
2023-11-03,tenant-1,prod-1,wh-5,in,52,restock,PO-1692,purchase_order,Restock transaction for Smartphone 1,430.2594071021801,22373.489169313365
2023-11-04,tenant-1,prod-1,wh-3,out,-4,sale,order-1666,order,Sale transaction for order SO-20231104-8913,430.2594071021801,1721.0376284087204
